Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
Tower Heist,Uni.,78046570,3370,24025190,3367,11/4/2011,Brett Ratner,Eddie Murphy,6,Action,11
Toy Story 2,BV,245852179,3257,300163,1,11/19/1999,John Lasseter,Tom Hanks,8,Animation,11
Toy Story 3,BV,415004880,4028,110307189,4028,6/18/2010,Lee Unkrich," 
Tom Hanks",8,Animation,6
Traffic,USA,124115725,1755,184725,4,12/27/2000,Steven Soderbergh,Michael Douglas,6,Comedy,12
Training Day,WB,76631907,2712,22550788,2712,10/5/2001,Antoine Fuqua,Denzel Washington,7,Action,10
Trainwreck,Uni.,110212700,3171,30097040,3158,7/17/2015,Judd Apatow,Amy Schumer,6,Comedy,7
Transformers,P/DW,319246193,4050,70502384,4011,7/3/2007,Michael Bay,Shia LaBeouf,7,Adventure,7
Transformers: Age of Extinction,Par.,245439076,4233,100038390,4233,6/27/2014,Michael Bay,Mark Wahlberg,6,Science Fiction,6
Transformers: Dark of the Moon,P/DW,352390543,4088,97852865,4088,6/29/2011,Michael Bay,Shia LaBeouf,6,Action,6
Transformers: Revenge of the Fallen,P/DW,402111870,4293,108966307,4234,6/24/2009, Michael Bay," 
Shia LaBeouf",6,Science Fiction,6
Transformers: The Last Knight,Par.,130168683,4132,44680073,4069,6/21/2017,Michael Bay,Mark Wahlberg,6,Action,6
Transporter 2,Fox,43095856,3320,16540720,3303,9/2/2005,Louis Leterrier,Jason Statham,6,Action,9
Transporter 3,LGF,31715062,2626,12063452,2626,11/26/2008,Olivier Megaton," 
Jason Statham",6,Action,11
Treasure Planet,BV,38176783,3227,12083248,3227,11/27/2002,Ron Clements,Joseph Gordon-Levitt,7,Adventure,11
Trolls,Fox,153707064,4066,46581142,4060,11/4/2016,Mike Mitchell,Anna Kendrick,7,Adventure,11
Tropic Thunder,P/DW,110515313,3473,25812796,3319,8/13/2008,Ben Stiller," 
Ben Stiller",7,Action,8
Trouble with the Curve,WB,35763137,3212,12162040,3212,9/21/2012,Robert Lorenz,Clint Eastwood,7,Drama,9
Troy,WB,133378256,3411,46865412,3411,5/14/2004,Wolfgang Petersen,Brad Pitt,7,Adventure,5
True Crime,WB,16649768,1852,5276109,1852,3/19/1999,Clint Eastwood,Clint Eastwood,7,Crime,3
True Grit,Par.,171243005,3464,24830443,3047,12/22/2010, Joel Coen," 
Jeff Bridges",7,Drama,12
Truth or Dare,Uni.,41411015,3068,18667855,3029,4/13/2018,Jeff Wadlow,Lucy Hale,7,Comedy,4
Turbo,Fox,83028128,3809,21312625,3806,7/17/2013,David Soren,Ryan Reynolds,5,Action,7
Twilight,Sum.,192769854,3649,69637740,3419,11/21/2008,Catherine Hardwicke,Kristen Stewart,6,Crime,11
Twisted,Par.,25198598,2704,8904299,2703,2/27/2004,Philip Kaufman,Ashley Judd,5,Action,2
Two Can Play That Game,SGem,22235901,1308,7720942,1297,9/7/2001,Mark Brown,Vivica A. Fox,7,Comedy,9
Two Weeks Notice,WB,93354851,2755,14328494,2755,12/20/2002,Marc Lawrence,Sandra Bullock,6,Comedy,12
U-571,Uni.,77122415,2820,19553310,2583,4/21/2000,Jonathan Mostow,Matthew McConaughey,6,Action,4
Unbreakable,BV,95011339,2708,30330771,2708,11/22/2000,M. Night Shyamalan,Bruce Willis,7,Thriller,11
Unbroken,Uni.,115637895,3301,30621445,3131,12/25/2014,Angelina Jolie,Jack OConnell,7,Drama,12
Uncle Drew,LG/S,42469946,2742,15242781,2742,6/29/2018,Charles Stone III,Kyrie Irving,7,Comedy,6
Under the Sea 3D,WB,36049389,108,661185,49,2/13/2009, Howard Hall, Jim Carrey,7,Documentary,2
Under the Tuscan Sun,BV,43610723,1701,9751425,1226,9/26/2003,Audrey Wells,Diane Lane,7,Romance,9
Undercover Brother,Uni.,39089928,2169,12037685,2167,5/31/2002,Malcolm D. Lee,Eddie Griffin,6,Action,5
Underdog,BV,43760605,3013,11585121,3013,8/3/2007,Frederik Du Chau, Peter Dinklage,5,Action,8
Underworld,SGem,51970690,2928,21753759,2915,9/19/2003,Len Wiseman,Kate Beckinsale,7,Fantasy,9
Underworld: Blood Wars,SGem,30353973,3070,13688751,3070,1/6/2017,Anna Foerster,Kate Beckinsale,6,Action,1
Underworld: Evolution,SGem,62318875,3207,26857181,3207,1/20/2006,Len Wiseman,Kate Beckinsale,6,Fantasy,1
Underworld: Rise of the Lycans,SGem,45802315,2942,20828511,2942,1/23/2009,Patrick Tatopoulos," 
Kate Beckinsale",6,Fantasy,1
Unfaithful,Fox,52775765,2625,14065277,2617,5/8/2002,Adrian Lyne,Richard Gere,6,Thriller,5
Unfriended,Uni.,32482090,2775,15845115,2739,4/17/2015,Leo Gabriadze,Shelley Hennig,5,Horror,4
United 93,Uni.,31483450,1871,11478360,1795,4/28/2006,Paul Greengrass,David Alan Basche,7,Drama,4
Unknown,WB,63686397,3043,21856389,3043,2/18/2011,Jaume Collet-Serra,Liam Neeson,6,Crime,2
Unstoppable,Fox,81562942,3261,22688457,3207,11/12/2010,Tony Scott,Denzel Washington,5,Action,11
Untraceable,SGem,28687835,2368,11354069,2368,1/25/2008, Gregory Hoblit," 
Diane Lane",6,Mystery,1
Up,BV,293004164,3886,68108790,3766,5/29/2009, Pete Docter," 
Ed Asner",8,Animation,5
Up in the Air,Par.,83823381,2218,1181450,15,12/4/2009, Jason Reitman,George Clooney,7,Drama,12
Uptown Girls,MGM,37182494,2495,11277367,2495,8/15/2003,Boaz Yakin,Brittany Murphy,6,Comedy,8
Urban Legends: Final Cut,Sony,21468807,2539,8505513,2539,9/22/2000,John Ottman,Jennifer Morrison,5,Horror,9
V for Vendetta,WB,70511035,3365,25642340,3365,3/17/2006,James McTeigue,Hugo Weaving,8,Action,3
Vacation,WB (NL),58884188,3430,14681108,3411,7/29/2015,John Francis Daley,Ed Helms,6,Drama,7
Valentine,WB,20384136,2310,10024648,2310,2/2/2001,Jamie Blanks,Denise Richards,5,Horror,2
Valerian and the City of a Thousand Planets,STX,41189488,3553,17007624,3553,7/21/2017,Luc Besson,Dane DeHaan,7,Adventure,7
Valkyrie,UA,83077833,2838,21027007,2711,12/25/2008, Bryan Singer,Tom Cruise,7,Drama,12
Vampires Suck,Fox,36661504,3233,12202831,3233,8/18/2010,Jason Friedberg,Jenn Proske,4,Comedy,8
Van Helsing,Uni.,120177084,3580,51748040,3575,5/7/2004,Stephen Sommers,Hugh Jackman,6,Horror,5
Vanilla Sky,Par.,100618344,2842,25015518,2742,12/14/2001,Cameron Crowe,Tom Cruise,7,Romance,12
Vantage Point,Sony,72266306,3163,22874936,3149,2/22/2008, Pete Travis," 
Dennis Quaid",6,Drama,2
Varsity Blues,Par.,52894169,2364,15204148,2121,1/15/1999,Brian Robbins,James Van Der Beek,6,Comedy,1
Vertical Limit,Sony,69243859,2602,15507845,2307,12/8/2000,Martin Campbell,Scott Glenn,6,Action,12
Vice,Annapurna,47835792,2534,7768371,2442,12/25/2018,Adam McKay,Christian Bale,4,Action,12
Walk the Line,Fox,119519402,3160,22347341,2961,11/18/2005,James Mangold,Joaquin Phoenix,7,Drama,11
Walking Tall,MGM,46437717,2836,15501114,2836,4/2/2004,Kevin Bray,Dwayne Johnson,6,Adventure,4
Walking with Dinosaurs,Fox,36076121,3243,7091938,3231,12/20/2013,Barry Cook,Charlie Rowe,5,Animation,12
Wall Street: Money Never Sleeps,Fox,52474616,3597,19011188,3565,9/24/2010,Oliver Stone,Michael Douglas,6,Drama,9
Wanted,Uni.,134508551,3185,50927085,3175,6/27/2008,Timur Bekmambetov," 
James McAvoy",7,Action,6
War Dogs,WB,43034523,3258,14685305,3258,8/19/2016,Todd Phillips,Jonah Hill,7,Comedy,8
War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,7/14/2017,Matt Reeves,Andy Serkis,7,Drama,7
War Horse,BV,79884879,2856,7515402,2376,12/25/2011,Steven Spielberg,Jeremy Irvine,7,Drama,12
War of the Worlds,Par.,234280354,3910,64878725,3908,6/29/2005,Steven Spielberg,Tom Cruise,6,Adventure,6
War Room,TriS,67790117,1945,11351389,1135,8/28/2015,Alex Kendrick,Priscilla C. Shirer,8,Drama,8
Warcraft,Uni.,47365290,3406,24166110,3400,6/10/2016,Duncan Jones,Travis Fimmel,6,Action,6
Warm Bodies,LG/S,66380662,3009,20353967,3009,2/1/2013,Jonathan Levine,Nicholas Hoult,6,Horror,2
Watchmen,WB,107509799,3611,55214334,3611,3/6/2009,Zack Snyder," 
Malin Åkerman",7,Drama,3
Water for Elephants,Fox,58709717,2820,16842353,2817,4/22/2011,Francis Lawrence,Robert Pattinson,7,Drama,4
We Are Marshall,WB,43545364,2606,6114264,2606,12/22/2006,McG,Matthew McConaughey,7,Drama,12
We Bought a Zoo,Fox,75624550,3170,9360434,3117,12/23/2011,Cameron Crowe,Matt Damon,7,Drama,12
We Own the Night,Sony,28563179,2402,10826287,2362,10/12/2007,James Gray,Joaquin Phoenix,7,Drama,10
We Were Soldiers,Par.,78122718,3143,20212543,3143,3/1/2002,Randall Wallace,Mel Gibson,7,Action,3
Wedding Crashers,NL,209255921,3131,33900720,2925,7/15/2005,David Dobkin,Owen Wilson,6,Comedy,7
Welcome Home Roscoe Jenkins,Uni.,42436517,2387,16207730,2387,2/8/2008, Malcolm D. Lee, Martin Lawrence,6,Comedy,2
What a Girl Wants,WB,36105433,2964,11434964,2964,4/4/2003,Dennie Gordon,Amanda Bynes,6,Comedy,4
What Happens in Vegas,Fox,80277646,3255,20172474,3215,5/9/2008,Tom Vaughan," 
Cameron Diaz",6,Comedy,5
What Lies Beneath,DW,155464351,2925,29702959,2813,7/21/2000,Robert Zemeckis,Harrison Ford,6,Drama,7
What Women Want,Par.,182811707,3092,33614543,3012,12/15/2000,Nancy Meyers,Mel Gibson,6,Comedy,12
When a Stranger Calls,SGem,47860214,3004,21607203,2999,2/3/2006,Simon West,Camilla Belle,6,Horror,2
When in Rome,BV,32680633,2456,12350041,2456,1/29/2010,Mark Steven Johnson, Kristen Bell ,6,Action,1
When the Bough Breaks,SGem,29747603,2246,14202323,2246,9/9/2016,Jon Cassar,Morris Chestnut,5,Mystery,9
When the Game Stands Tall,TriS,30127963,2766,8381509,2673,8/22/2014,Thomas Carter,Jim Caviezel,7,Drama,8
Where the Heart Is,Fox,33772838,2439,8292939,2437,4/28/2000,Matt Williams,Natalie Portman,7,Comedy,4
Where the Wild Things Are,WB,77233467,3735,32695407,3735,10/16/2009, Spike Jonze, Max Records,6,Family,10
White Boy Rick,Studio 8,24011188,2504,8860431,2504,9/14/2018,Yann Demange,Matthew McConaughey,6,Crime,9
White Chicks,Sony,70831760,2800,19676748,2726,6/23/2004,Keenen Ivory Wayans,Marlon Wayans,7,Comedy,6
White House Down,Sony,73103784,3222,24852258,3222,6/28/2013,Roland Emmerich,Channing Tatum,6,Action,6
White Noise,Uni.,56386759,2279,24113565,2261,1/7/2005,Geoffrey Sax,Michael Keaton,6,Drama,1
Why Him?,Fox,60323786,3008,11002986,2917,12/23/2016,John Hamburg,Zoey Deutch,6,Comedy,12
Widows,Fox,42402632,2803,12361307,2803,11/16/2018,Steve McQueen,Viola Davis,5,Drama,11
Wild Hogs,BV,168273550,3401,39699023,3287,3/2/2007,Walt Becker,Tim Allen,6,Action,3
Wild Wild West,WB,113804681,3342,27687484,3342,6/30/1999,Barry Sonnenfield,Will Smith,5,Action,6
Winchester,LGF,25091816,2480,9307626,2480,2/2/2018,Michael Spierig,Helen Mirren,6,Fantasy,2
Wind River,Wein.,33800859,2890,161558,4,8/4/2017,Taylor Sheridan,Kelsey Asbille,7,Drama,8
Windtalkers,MGM,40914068,2898,14520412,2898,6/14/2002,John Woo,Nicolas Cage,6,Drama,6
Without a Paddle,Par.,58169327,2756,13528946,2730,8/20/2004,Steven Brill,Matthew Lillard,5,Action,8
Woman in Gold,Wein.,33307793,2011,2091551,258,4/1/2015,Simon Curtis,Helen Mirren,7,Drama,4
Wonder,LGF,132422809,3519,27547866,3096,11/17/2017,Stephen Chbosky,Jacob Tremblay,8,Drama,11
Wonder Boys,Par.,19393557,1509,5808919,1253,2/23/2000,Curtis Hanson,Michael Douglas,7,Comedy,2
Wonder Woman,WB,412563408,4165,103251471,4165,6/2/2017,Patty Jenkins,Gal Gadot,7,Action,6
World Trade Center,Par.,70278893,3021,18730762,2957,8/9/2006,Oliver Stone,Nicolas Cage,6,Drama,8
World War Z,Par.,202359711,3607,66411834,3607,6/21/2013,Marc Forster,Brad Pitt,7,Action,6
Wrath of the Titans,WB,83670083,3545,33457188,3545,3/30/2012,Jonathan Liebesman,Sam Worthington,6,Fantasy,3
Wreck-It Ralph,BV,189422889,3752,49038712,3752,11/2/2012,Rich Moore,John C. Reilly,7,Family,11
X-Men,Fox,157299717,3112,54471475,3025,7/14/2000,Bryan Singer,Patrick Stewart,7,Adventure,7
X-Men Origins: Wolverine,Fox,179883157,4102,85058003,4099,5/1/2009,Gavin Hood,Hugh Jackman,6,Adventure,5
X-Men: Apocalypse,Fox,155442489,4153,65769562,4150,5/27/2016,Bryan Singer,James McAvoy,7,Action,5
X-Men: Days of Future Past,Fox,233921534,4001,90823660,3996,5/23/2014,Bryan Singer,Patrick Stewart,8,Action,5
X-Men: First Class,Fox,146408305,3692,55101604,3641,6/3/2011,Matthew Vaughn,James McAvoy,7,Action,6
X-Men: The Last Stand,Fox,234362462,3714,102750665,3690,5/26/2006,Brett Ratner,Patrick Stewart,6,Adventure,5
XXX,SonR,142109382,3536,44506103,3374,8/9/2002,Rob Cohen,Vin Diesel,6,Action,8
XXX: State of the Union,SonR,26873932,3480,12712272,3480,4/29/2005,Lee Tamahori,Ice Cube,5,Action,4
Year One,Sony,43337279,3024,19610304,3022,6/19/2009, Harold Ramis, Jack Black,5,Comedy,6
Yes Man,WB,97690976,3434,18262471,3434,12/19/2008, Peyton Reed, Jim Carrey,7,Comedy,12
Yogi Bear,WB,100246011,3515,16411322,3515,12/17/2010,Eric Brevig, Dan Aykroyd,5,Comedy,12
You Got Served,SGem,40363810,1943,16123105,1933,1/30/2004,Chris Stokes,Omarion,5,Drama,1
Zack and Miri Make a Porno,Wein.,31457946,2735,10065630,2735,10/31/2008, Kevin Smith," 
Seth Rogen",6,Comedy,10
Zero Dark Thirty,Sony,95720716,2946,417150,5,12/19/2012,Kathryn Bigelow,Jessica Chastain,7,Thriller,12
Zodiac,Par.,33080084,2379,13395610,2362,3/2/2007, David Fincher,Jake Gyllenhaal,7,Crime,3
Zombieland,Sony,75590286,3171,24733155,3036,10/2/2009, Ruben Fleischer," 
Woody Harrelson",7,Comedy,10
Zookeeper,Sony,80360843,3482,20065617,3482,7/8/2011,Frank Coraci,Kevin James,5,Comedy,7
Zoolander,Par.,45172250,2522,15525043,2507,9/28/2001,Ben Stiller,Ben Stiller,6,Comedy,9
Zoolander 2,Par.,28848693,3418,13841146,3394,2/12/2016,Ben Stiller,Ben Stiller,5,Comedy,2
Zootopia,BV,341268248,3959,75063401,3827,3/4/2016,Byron Howard,Ginnifer Goodwin,8,Animation,3
