Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
The Manchurian Candidate,Par.,65955630,2867,20018620,2867,7/30/2004,Jonathan Demme,Denzel Washington,6,Drama,7
The Martian,Fox,228433663,3854,54308575,3831,10/2/2015,Ridley Scott,Matt Damon,8,Drama,10
The Master of Disguise,SonR,40388794,2568,12554650,2565,8/2/2002,Perry Andelin Blake,Dana Carvey,4,Comedy,8
The Matrix,WB,171479930,2903,27788331,2849,3/31/1999,The Wachowskis,Keanu Reeves,8,Action,3
The Matrix Reloaded,WB,281576461,3603,91774413,3603,5/15/2003,Lana Wachowski,Keanu Reeves,7,Adventure,5
The Matrix Revolutions,WB,139313948,3502,48475154,3502,11/5/2003,Lana Wachowski,Keanu Reeves,7,Adventure,11
The Maze Runner,Fox,102427862,3638,32512804,3604,9/19/2014,Wes Ball,Dylan OBrien,7,Action,9
The Meg,WB,145443742,4118,45402195,4118,8/10/2018,Jon Turteltaub,Jason Statham,6,Action,8
The Men Who Stare at Goats,Over.,32428195,2453,12706654,2443,11/6/2009, Grant Heslov," 
George Clooney",6,Comedy,11
The Messengers,SGem,35374833,2529,14713321,2528,2/2/2007,Pang Brothers,Kristen Stewart,6,Mystery,2
The Mexican,DW,66845033,3162,20108829,2951,3/2/2001,Gore Verbinski,Brad Pitt,6,Action,3
The Missing,SonR,27011180,2756,10833633,2756,11/26/2003,Ron Howard,Tommy Lee Jones,7,Drama,11
The Mist,MGM/W,25594957,2423,8931973,2423,11/21/2007,Frank Darabont,Thomas Jane,7,Horror,11
The Monuments Men,Sony,78031620,3083,22003433,3083,2/7/2014,George Clooney,George Clooney,6,War,2
The Mortal Instruments: City of Bones,SGem,31165421,3118,9336957,3118,8/21/2013,Ed Decter,Katherine McNamara,6,Action,8
The Mothman Prophecies,SGem,35746370,2331,11208851,2331,1/25/2002,Mark Pellington,Richard Gere,6,Drama,1
The Mountain Between Us,Fox,30348555,3259,10551336,3088,10/6/2017,Hany Abu-Assad,Idris Elba,7,Romance,10
The Mule,WB,103804407,3329,17509431,2588,12/14/2018,Clint Eastwood,Clint Eastwood,5,Drama,12
The Mummy,Uni.,155385488,3411,43369635,3210,5/7/1999,Stephen Sommers,Brendan Fraser,7,Adventure,5
The Mummy Returns,Uni.,202019785,3553,68139035,3401,5/4/2001,Stephen Sommers,Brendan Fraser,6,Adventure,5
The Mummy: Tomb of the Dragon Emperor,Uni.,102491776,3778,40457770,3760,8/1/2008, Rob Cohen," 
Brendan Fraser",5,Adventure,8
The Muppets,BV,88631237,3440,29239026,3440,11/23/2011,James Bobin,Amy Adams,7,Comedy,11
The Musketeer,Uni.,27073640,2500,10312740,2438,9/7/2001,Peter Hyams,Justin Chambers,5,Adventure,9
The Nanny Diaries,MGM/W,25930652,2636,7480927,2629,8/24/2007,Shari Springer Berman,Scarlett Johansson,6,Comedy,8
The Nativity Story,NL,37629831,3083,7849304,3083,12/1/2006,Catherine Hardwicke,Keisha Castle-Hughes,6,Drama,12
The New Guy,SonR,29760152,2687,9007833,2687,5/10/2002,Ed Decter,DJ Qualls,6,Comedy,5
The Nice Guys,WB,36261763,2865,11203270,2865,5/20/2016,Shane Black,Russell Crowe,7,Comedy,5
The Night Before,Sony,43047372,2960,9880536,2960,11/20/2015,Jonathan Levine,Joseph Gordon-Levitt,6,Comedy,11
The Notebook,NL,81001787,2323,13464745,2303,6/25/2004,Nick Cassavetes,Gena Rowlands,8,Romance,6
The Number 23,NL,35193167,2759,14602867,2759,2/23/2007, Joel Schumacher," 
Jim Carrey",6,Thriller,2
The Nun,WB (NL),117450119,3876,53807379,3876,9/7/2018,Corin Hardy,Demián Bichir,5,Horror,9
The Nut Job,ORF,64251541,3472,19423000,3427,1/17/2014,Peter Lepeniotis,Will Arnett,6,Animation,1
The Nut Job 2: Nutty by Nature,ORF,28370522,4003,8342311,4003,8/11/2017,Cal Brunker,Will Arnett,6,Family,8
The Nutcracker and the Four Realms,BV,54858851,3766,20352491,3766,11/2/2018,Lasse Hallström,Mackenzie Foy,6,Fantasy,11
The Odd Life of Timothy Green,BV,51854875,2717,10822903,2598,8/15/2012,Peter Hedges,Jennifer Garner,7,Fantasy,8
The One,SonR,43905746,2894,19112404,2894,11/2/2001,James Wong,Jet Li,6,Action,11
The Original Kings of Comedy,Par.,38182790,1082,11053832,847,8/18/2000,Spike Lee,Steve Harvey,7,Comedy,8
The Other Guys,Sony,119219978,3651,35543162,3651,8/6/2010,Adam McKay,Will Ferrell,6,Action,8
The Other Sister,BV,27807627,1863,6624445,1343,2/26/1999,Garry Marshall,Juliette Lewis,6,Comedy,2
